Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-28 15:00:00,131833.52,132707.81,131833.52,132183.05,0.0,0.0,0.0
2025-03-28 16:00:00,132216.52,132303.69,132076.34,132237.66,0.0,0.0,0.0
2025-03-31 10:00:00,131900.0,131900.92,130266.24,130577.41,0.0,0.0,0.0
2025-03-31 11:00:00,130640.55,130930.37,130530.63,130670.39,0.0,0.0,0.0
2025-03-31 12:00:00,130729.91,130729.91,130188.73,130323.43,0.0,0.0,0.0
2025-03-31 13:00:00,130315.0,130453.08,130202.16,130340.33,0.0,0.0,0.0
2025-03-31 14:00:00,130328.84,130492.7,130114.96,130416.18,0.0,0.0,0.0
2025-03-31 15:00:00,130402.7,131082.06,130402.7,130622.96,0.0,0.0,0.0
2025-03-31 16:00:00,130622.72,130733.8,130464.91,130526.42,0.0,0.0,0.0
2025-04-01 10:00:00,130266.57,130864.04,130080.54,130775.96,0.0,0.0,0.0
2025-04-01 11:00:00,130754.09,131716.7,130529.09,131393.48,0.0,0.0,0.0
2025-04-01 12:00:00,131356.23,131850.45,131356.23,131771.02,0.0,0.0,0.0
2025-04-01 13:00:00,131762.31,131949.86,131470.55,131592.95,0.0,0.0,0.0
2025-04-01 14:00:00,131577.66,131982.3,131495.56,131726.48,0.0,0.0,0.0
2025-04-01 15:00:00,131748.66,131779.09,131023.98,131218.2,0.0,0.0,0.0
2025-04-01 16:00:00,131195.16,131422.89,131040.66,131150.62,0.0,0.0,0.0
2025-04-02 10:00:00,131150.69,131423.84,130500.72,130605.31,0.0,0.0,0.0
2025-04-02 11:00:00,130566.67,131238.95,130392.6,130985.24,0.0,0.0,0.0
2025-04-02 12:00:00,130942.2,131132.47,130706.95,130942.5,0.0,0.0,0.0
2025-04-02 13:00:00,130919.66,131299.81,130834.82,131256.5,0.0,0.0,0.0
2025-04-02 14:00:00,131268.45,131268.45,130887.25,131094.05,0.0,0.0,0.0
2025-04-02 15:00:00,131104.81,131218.73,131016.57,131093.45,0.0,0.0,0.0
2025-04-02 16:00:00,131084.27,131291.91,131084.27,131263.41,0.0,0.0,0.0
2025-04-03 10:00:00,131185.39,132449.02,130342.43,132001.3,0.0,0.0,0.0
2025-04-03 11:00:00,132011.52,132552.11,131494.69,131731.7,0.0,0.0,0.0
2025-04-03 12:00:00,131615.62,131615.62,130899.71,131064.65,0.0,0.0,0.0
2025-04-03 13:00:00,131013.43,131607.52,131013.43,131344.48,0.0,0.0,0.0
2025-04-03 14:00:00,131356.56,131589.09,131115.81,131403.52,0.0,0.0,0.0
2025-04-03 15:00:00,131363.06,131484.06,131154.77,131376.12,0.0,0.0,0.0
2025-04-03 16:00:00,131370.23,131467.27,131033.18,131093.17,0.0,0.0,0.0
2025-04-04 10:00:00,131139.05,131139.05,127330.89,127572.34,0.0,0.0,0.0
2025-04-04 11:00:00,127598.82,127598.82,126465.55,126903.82,0.0,0.0,0.0
2025-04-04 12:00:00,126905.61,127767.59,126845.7,127178.32,0.0,0.0,0.0
2025-04-04 13:00:00,127128.16,127412.55,126853.4,127194.45,0.0,0.0,0.0
2025-04-04 14:00:00,127189.1,127396.08,126865.29,127278.8,0.0,0.0,0.0
2025-04-04 15:00:00,127307.24,127380.7,126793.1,126934.96,0.0,0.0,0.0
2025-04-04 16:00:00,126969.24,127404.35,126865.35,127257.58,0.0,0.0,0.0
2025-04-07 10:00:00,127228.9,127228.91,123876.24,125238.72,0.0,0.0,0.0
2025-04-07 11:00:00,125164.85,128410.57,125023.18,126760.2,0.0,0.0,0.0
2025-04-07 12:00:00,126854.14,127102.35,124985.69,125613.02,0.0,0.0,0.0
2025-04-07 13:00:00,125502.76,125569.36,124805.33,125245.27,0.0,0.0,0.0
2025-04-07 14:00:00,125243.92,126353.12,125225.16,126164.05,0.0,0.0,0.0
2025-04-07 15:00:00,126193.34,126391.5,125138.53,125216.43,0.0,0.0,0.0
2025-04-07 16:00:00,125244.25,125894.16,125231.17,125503.59,0.0,0.0,0.0
2025-04-08 10:00:00,125588.09,127651.6,125588.09,126745.22,0.0,0.0,0.0
2025-04-08 11:00:00,126700.75,127012.3,125488.48,125488.48,0.0,0.0,0.0
2025-04-08 12:00:00,125521.16,125715.44,125033.25,125513.5,0.0,0.0,0.0
2025-04-08 13:00:00,125514.74,125514.74,124426.45,124738.42,0.0,0.0,0.0
2025-04-08 14:00:00,124732.94,124994.49,124205.88,124823.9,0.0,0.0,0.0
2025-04-08 15:00:00,124839.95,125351.2,124434.34,124434.34,0.0,0.0,0.0
2025-04-08 16:00:00,124398.61,124398.61,123454.24,123909.2,0.0,0.0,0.0
2025-04-09 10:00:00,123928.19,124421.8,122887.13,124237.99,0.0,0.0,0.0
2025-04-09 11:00:00,124231.77,124718.59,123586.13,123678.43,0.0,0.0,0.0
2025-04-09 12:00:00,123665.65,124180.83,123426.12,123552.01,0.0,0.0,0.0
2025-04-09 13:00:00,123548.13,124485.54,123548.13,124364.67,0.0,0.0,0.0
2025-04-09 14:00:00,124311.32,128648.95,123960.35,128258.77,0.0,0.0,0.0
2025-04-09 15:00:00,128291.03,128410.39,126867.8,126867.8,0.0,0.0,0.0
2025-04-09 16:00:00,126924.04,128109.34,126703.2,127881.16,0.0,0.0,0.0
2025-04-10 10:00:00,127795.93,127796.75,126440.55,126708.18,0.0,0.0,0.0
